elapsed_s,gpu_memory_mib,wsl_rss_kib,wsl_rss_source,wsl_swap_kib,minor_faults,major_faults,fault_processes,pcie_rx_mib_s,pcie_tx_mib_s
63.915,30437.0,73789744,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
64.953,30437.0,73783816,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
65.99,30437.0,73790628,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
67.026,30437.0,73813464,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
68.064,30437.0,73816656,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
69.1,30437.0,73802872,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
70.135,30437.0,73819404,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
71.17,30437.0,73793864,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
72.215,30437.0,73804468,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
73.25,30437.0,73829440,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
74.287,30437.0,73806492,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
75.321,30437.0,73825256,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
76.359,30437.0,73801740,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
77.396,30437.0,73890052,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
78.431,30437.0,73857828,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
79.466,30437.0,73818136,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
80.502,30437.0,73840248,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
81.536,30437.0,74127808,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
82.571,30437.0,74176520,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
83.61,30437.0,74275476,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
84.645,30437.0,74359204,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
85.68,30437.0,74381456,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
86.729,31053.0,74703652,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
87.775,31083.0,75014672,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
88.817,31085.0,75222680,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
89.857,31893.0,75435744,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
90.896,31893.0,75491284,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
91.93,31899.0,75615472,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
92.969,31899.0,75618440,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
94.006,31899.0,75632184,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
95.044,31899.0,75640728,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
96.082,31899.0,75636560,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
97.123,31899.0,75649316,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
98.163,31489.0,75915652,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
99.203,31489.0,76224908,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
100.245,31489.0,76518660,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
101.278,31489.0,76710152,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
102.32,31489.0,76859660,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
103.381,31555.0,76920016,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
104.415,31555.0,77179016,WSL MemTotal-MemAvailable fallback,0,19008947,1630,4,,
