elapsed_s,gpu_memory_mib,wsl_rss_kib,wsl_rss_source,wsl_swap_kib,minor_faults,major_faults,fault_processes,pcie_rx_mib_s,pcie_tx_mib_s
63.347,29567.0,74119464,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
64.38,29568.0,74125884,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
65.413,29568.0,74125328,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
66.445,29568.0,74142136,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
67.479,29569.0,74147836,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
68.511,29569.0,74123300,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
69.543,29569.0,74123932,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
70.576,29569.0,74140532,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
71.61,29569.0,74130920,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
72.645,29576.0,74124968,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
73.682,29578.0,74116132,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
74.715,29577.0,74128420,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
75.748,29575.0,74130516,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
76.78,29575.0,74196644,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
77.856,29576.0,74451696,WSL MemTotal-MemAvailable fallback,0,19038311,6945,4,,
78.911,29575.0,74535568,WSL MemTotal-MemAvailable fallback,0,19038314,6945,4,,
79.959,29569.0,74597816,WSL MemTotal-MemAvailable fallback,0,19038318,6945,4,,
81.006,29570.0,74659112,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
82.037,29570.0,74684112,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
83.069,30205.0,75181660,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
84.105,30217.0,75534524,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
85.133,31360.0,75718632,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
86.168,31360.0,75888192,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
87.197,31367.0,75917328,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
88.237,31367.0,75928120,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
89.274,31367.0,75941776,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
90.307,31367.0,75940328,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
91.341,31367.0,75940596,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
92.377,30524.0,75942868,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
93.414,31374.0,76226752,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
94.45,30700.0,76511720,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
95.485,30700.0,77187860,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
96.517,30700.0,77945224,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
97.55,30700.0,78941420,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
98.581,30701.0,78944184,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
99.617,30701.0,78945016,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
100.648,30701.0,78940324,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
101.681,30701.0,78937428,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
102.712,30701.0,78939608,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
103.746,30702.0,78937144,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
104.778,30702.0,78939560,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
105.812,30702.0,78938856,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
106.843,30702.0,78943608,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
107.878,30702.0,78945156,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
108.91,30702.0,78944760,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
109.944,30702.0,78936984,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
110.979,30702.0,79542460,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
112.01,30701.0,80422588,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
113.041,30702.0,81347048,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
114.078,30702.0,81589308,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
115.108,30702.0,81584052,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
116.142,30703.0,81587452,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
117.173,30703.0,81586116,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
118.21,30702.0,81580092,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
119.241,30700.0,81575356,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
120.275,30702.0,81578036,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
121.311,30702.0,81565216,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
122.35,30702.0,81566156,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
123.389,30702.0,81562052,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
124.422,30702.0,81564432,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
125.452,30702.0,81562072,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
126.488,30702.0,81609356,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
127.52,30702.0,81906052,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
128.556,30702.0,81987320,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
129.588,30702.0,82243280,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
130.628,30702.0,82297104,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
131.663,30704.0,82525220,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
132.698,30704.0,82578100,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
133.731,30704.0,82928188,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
134.764,30704.0,82932264,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
135.798,30704.0,83188280,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
136.828,30704.0,83383792,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
137.862,30704.0,83453236,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
138.898,30704.0,83553120,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
139.928,30704.0,83873332,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
140.965,30704.0,83970844,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
141.998,30723.0,84127644,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
143.034,30722.0,84402992,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
144.07,30722.0,84438548,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
145.108,30722.0,84600052,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
146.138,30722.0,84824124,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
147.173,30705.0,85077220,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
148.205,30704.0,85074348,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
149.243,30704.0,85334036,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
150.276,30704.0,85351396,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
151.307,30704.0,85353880,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
152.341,30704.0,85357544,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
153.372,30704.0,79952452,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
154.403,30736.0,77139848,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
155.433,30737.0,77554168,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
156.464,30737.0,77279808,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
157.496,30652.0,77284228,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
158.526,30652.0,77268220,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
159.557,30652.0,77281780,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
160.594,30652.0,77995748,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
161.626,30837.0,77891380,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
162.658,30836.0,78664068,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
163.69,30836.0,78466308,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
164.721,30837.0,78417364,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
165.751,30875.0,78300264,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
166.79,30987.0,78225904,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
167.821,30991.0,78132168,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
168.852,30687.0,78085368,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
169.881,30688.0,78049784,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
170.911,30756.0,78051444,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
171.946,30756.0,78083084,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
172.977,30757.0,78080296,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
174.012,30756.0,78042240,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
175.124,29581.0,75594532,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
176.183,29581.0,75636648,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
177.225,29581.0,75824472,WSL MemTotal-MemAvailable fallback,0,19038463,7182,4,,
178.256,29581.0,75774796,WSL MemTotal-MemAvailable fallback,0,19038464,7182,4,,
179.294,29581.0,75743120,WSL MemTotal-MemAvailable fallback,0,19038486,7222,4,,
180.324,29581.0,75687724,WSL MemTotal-MemAvailable fallback,0,19038496,7225,4,,
181.362,29583.0,75650888,WSL MemTotal-MemAvailable fallback,0,19038496,7225,4,,
182.405,29583.0,75615828,WSL MemTotal-MemAvailable fallback,0,19038568,7366,4,,
183.436,29583.0,75566900,WSL MemTotal-MemAvailable fallback,0,19038568,7366,4,,
184.476,29583.0,75523820,WSL MemTotal-MemAvailable fallback,0,19038582,7402,4,,
185.514,29583.0,75486428,WSL MemTotal-MemAvailable fallback,0,19038647,7568,4,,
186.56,29584.0,75462328,WSL MemTotal-MemAvailable fallback,0,19038713,7730,4,,
187.592,29584.0,75423208,WSL MemTotal-MemAvailable fallback,0,19038728,7745,4,,
188.637,29585.0,75346636,WSL MemTotal-MemAvailable fallback,0,19038728,7745,4,,
189.676,29585.0,75290852,WSL MemTotal-MemAvailable fallback,0,19038728,7745,4,,
190.717,29585.0,75267564,WSL MemTotal-MemAvailable fallback,0,19038739,7745,4,,
191.759,29588.0,75231720,WSL MemTotal-MemAvailable fallback,0,19038935,8204,4,,
192.795,29588.0,75199608,WSL MemTotal-MemAvailable fallback,0,19038935,8204,4,,
193.838,29588.0,75160596,WSL MemTotal-MemAvailable fallback,0,19038943,8229,4,,
194.878,29589.0,75135368,WSL MemTotal-MemAvailable fallback,0,19038984,8326,4,,
195.916,29590.0,75121196,WSL MemTotal-MemAvailable fallback,0,19039030,8446,4,,
196.949,29591.0,75063732,WSL MemTotal-MemAvailable fallback,0,19039051,8486,4,,
197.99,29591.0,75003160,WSL MemTotal-MemAvailable fallback,0,19039070,8515,4,,
199.022,29592.0,74966024,WSL MemTotal-MemAvailable fallback,0,19039070,8515,4,,
200.061,29592.0,74923992,WSL MemTotal-MemAvailable fallback,0,19039070,8515,4,,
201.099,29592.0,74881020,WSL MemTotal-MemAvailable fallback,0,19039071,8515,4,,
202.136,29593.0,74857988,WSL MemTotal-MemAvailable fallback,0,19039071,8515,4,,
203.175,29593.0,74825536,WSL MemTotal-MemAvailable fallback,0,19039075,8515,4,,
204.205,29593.0,74790516,WSL MemTotal-MemAvailable fallback,0,19039148,9854,4,,
205.238,29594.0,74772704,WSL MemTotal-MemAvailable fallback,0,19040460,11078,4,,
206.281,29594.0,74746768,WSL MemTotal-MemAvailable fallback,0,19040460,11078,4,,
207.318,29594.0,74719804,WSL MemTotal-MemAvailable fallback,0,19040476,11121,4,,
208.355,29594.0,74695120,WSL MemTotal-MemAvailable fallback,0,19040507,11181,4,,
209.387,29595.0,74692456,WSL MemTotal-MemAvailable fallback,0,19040518,11193,4,,
210.42,29596.0,74688840,WSL MemTotal-MemAvailable fallback,0,19040518,11193,4,,
211.458,29596.0,74675428,WSL MemTotal-MemAvailable fallback,0,19040518,11193,4,,
212.498,29596.0,74662976,WSL MemTotal-MemAvailable fallback,0,19040521,11193,4,,
213.538,29597.0,74648168,WSL MemTotal-MemAvailable fallback,0,19040538,11217,4,,
214.57,29606.0,74628732,WSL MemTotal-MemAvailable fallback,0,19040538,11217,4,,
215.608,29606.0,74625372,WSL MemTotal-MemAvailable fallback,0,19040557,11275,4,,
216.642,29605.0,74621576,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
217.683,29605.0,74595564,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
218.722,29605.0,74608620,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
219.754,29599.0,74598352,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
220.791,29600.0,74596792,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
221.824,29601.0,74604684,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
222.865,29600.0,74602384,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
223.908,29600.0,74596052,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
224.94,29599.0,74578884,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
225.978,29601.0,74578268,WSL MemTotal-MemAvailable fallback,0,19040561,11288,4,,
227.021,29601.0,74575848,WSL MemTotal-MemAvailable fallback,0,19040563,11288,4,,
228.062,29601.0,74573664,WSL MemTotal-MemAvailable fallback,0,19040563,11288,4,,
229.104,29602.0,74583480,WSL MemTotal-MemAvailable fallback,0,19040564,11288,4,,
230.137,29603.0,74578248,WSL MemTotal-MemAvailable fallback,0,19040564,11288,4,,
231.179,29602.0,74566160,WSL MemTotal-MemAvailable fallback,0,19040564,11288,4,,
232.218,29602.0,74570692,WSL MemTotal-MemAvailable fallback,0,19040565,11288,4,,
233.249,29602.0,74568820,WSL MemTotal-MemAvailable fallback,0,19040565,11288,4,,
234.284,29603.0,74570532,WSL MemTotal-MemAvailable fallback,0,19040565,11288,4,,
235.319,29603.0,74575436,WSL MemTotal-MemAvailable fallback,0,19040566,11288,4,,
236.362,29604.0,74574972,WSL MemTotal-MemAvailable fallback,0,19040566,11288,4,,
237.402,29604.0,74570128,WSL MemTotal-MemAvailable fallback,0,19040567,11288,4,,
238.434,29604.0,74574004,WSL MemTotal-MemAvailable fallback,0,19040567,11288,4,,
239.47,29605.0,74574760,WSL MemTotal-MemAvailable fallback,0,19040567,11288,4,,
240.503,29605.0,74562624,WSL MemTotal-MemAvailable fallback,0,19040570,11288,4,,
241.544,29606.0,74565824,WSL MemTotal-MemAvailable fallback,0,19040570,11288,4,,
242.587,29606.0,74570824,WSL MemTotal-MemAvailable fallback,0,19040571,11288,4,,
243.619,29605.0,74585892,WSL MemTotal-MemAvailable fallback,0,19040571,11288,4,,
244.658,29606.0,74587908,WSL MemTotal-MemAvailable fallback,0,19040571,11288,4,,
245.691,29617.0,74601780,WSL MemTotal-MemAvailable fallback,0,19040572,11288,4,,
246.731,29618.0,74607732,WSL MemTotal-MemAvailable fallback,0,19040572,11288,4,,
247.767,29617.0,74618868,WSL MemTotal-MemAvailable fallback,0,19040575,11300,4,,
248.797,29616.0,74598836,WSL MemTotal-MemAvailable fallback,0,19040592,11328,4,,
249.839,29616.0,74596968,WSL MemTotal-MemAvailable fallback,0,19040592,11328,4,,
250.879,29606.0,74598344,WSL MemTotal-MemAvailable fallback,0,19040609,11380,4,,
251.911,29606.0,74591860,WSL MemTotal-MemAvailable fallback,0,19040609,11380,4,,
252.944,29607.0,74609364,WSL MemTotal-MemAvailable fallback,0,19040609,11380,4,,
