case,iteration,prompt_tokens,completion_tokens,ttft_ms,total_ms
stability,87,318,3,,2049.353
stability,88,15,2,,741.978
stability,89,318,3,,2046.696
stability,90,15,2,,767.127
stability,91,318,3,,2024.317
stability,92,15,2,,746.954
stability,93,318,3,,2037.944
stability,94,15,2,,736.68
stability,95,318,3,,2059.875
stability,96,15,2,,767.443
stability,97,318,3,,2030.093
stability,98,15,2,,750.142
stability,99,318,3,,2045.77
soak,0,15,2,,741.859
soak,1,318,3,,2408.724
soak,2,15,2,,908.867
soak,3,318,3,,2164.735
soak,4,15,2,,923.231
soak,5,318,3,,2206.785
soak,6,15,2,,932.359
soak,7,318,3,,2242.016
soak,8,15,2,,769.191
soak,9,318,3,,2218.42
soak,10,15,2,,777.199
soak,11,318,3,,2231.667
soak,12,15,2,,909.548
soak,13,318,3,,2245.66
soak,14,15,2,,958.221
soak,15,318,3,,2289.34
soak,16,15,2,,929.591
soak,17,318,3,,2252.532
soak,18,15,2,,908.242
soak,19,318,3,,2207.807
soak,20,15,2,,857.223
soak,21,318,3,,2169.834
soak,22,15,2,,903.222
soak,23,318,3,,2133.684
soak,24,15,2,,889.567
soak,25,318,3,,2186.94
soak,26,15,2,,899.112
soak,27,318,3,,2164.951
soak,28,15,2,,966.841
soak,29,318,3,,2205.418
soak,30,15,2,,884.75
soak,31,318,3,,2201.369
soak,32,15,2,,896.743
soak,33,318,3,,2189.817
soak,34,15,2,,897.032
soak,35,318,3,,2245.941
soak,36,15,2,,869.369
soak,37,318,3,,2156.336
soak,38,15,2,,875.152
soak,39,318,3,,2126.634
soak,40,15,2,,895.385
soak,41,318,3,,2630.528
soak,42,15,2,,1140.67
soak,43,318,3,,3167.662
soak,44,15,2,,907.508
soak,45,318,3,,2397.019
soak,46,15,2,,870.198
soak,47,318,3,,2386.859
soak,48,15,2,,890.724
soak,49,318,3,,2391.067
soak,50,15,2,,900.615
soak,51,318,3,,2359.041
soak,52,15,2,,888.621
soak,53,318,3,,2340.721
soak,54,15,2,,860.092
soak,55,318,3,,2346.643
soak,56,15,2,,889.639
soak,57,318,3,,2384.822
soak,58,15,2,,906.642
soak,59,318,3,,2383.125
soak,60,15,2,,885.005
soak,61,318,3,,2342.572
soak,62,15,2,,876.845
soak,63,318,3,,2334.225
soak,64,15,2,,887.643
soak,65,318,3,,2364.895
soak,66,15,2,,887.281
soak,67,318,3,,2388.629
soak,68,15,2,,885.059
soak,69,318,3,,2356.729
soak,70,15,2,,880.454
soak,71,318,3,,2292.978
soak,72,15,2,,895.179
soak,73,318,3,,2345.636
soak,74,15,2,,896.427
soak,75,318,3,,2332.051
soak,76,15,2,,900.927
soak,77,318,3,,2361.778
soak,78,15,2,,910.71
soak,79,318,3,,2303.649
soak,80,15,2,,734.212
soak,81,318,3,,2344.632
soak,82,15,2,,853.719
soak,83,318,3,,2345.505
soak,84,15,2,,955.411
soak,85,318,3,,2576.566
soak,86,15,2,,956.539
soak,87,318,3,,2416.696
soak,88,15,2,,933.906
soak,89,318,3,,2540.615
soak,90,15,2,,942.231
soak,91,318,3,,2526.412
soak,92,15,2,,939.429
soak,93,318,3,,2575.974
soak,94,15,2,,923.274
soak,95,318,3,,2530.041
soak,96,15,2,,919.359
soak,97,318,3,,2506.338
soak,98,15,2,,936.186
soak,99,318,3,,2555.271
soak,100,15,2,,934.674
soak,101,318,3,,2483.743
soak,102,15,2,,937.174
soak,103,318,3,,2470.695
soak,104,15,2,,959.173
soak,105,318,3,,2527.715
soak,106,15,2,,938.315
soak,107,318,3,,2580.952
soak,108,15,2,,955.103
soak,109,318,3,,2508.085
soak,110,15,2,,794.842
soak,111,318,3,,2648.038
soak,112,15,2,,945.846
soak,113,318,3,,2539.557
soak,114,15,2,,921.128
soak,115,318,3,,2553.898
soak,116,15,2,,953.876
soak,117,318,3,,2573.405
soak,118,15,2,,875.178
soak,119,318,3,,2557.377
soak,120,15,2,,911.711
