elapsed_s,gpu_memory_mib,wsl_rss_kib,wsl_rss_source,wsl_swap_kib,minor_faults,major_faults,fault_processes,pcie_rx_mib_s,pcie_tx_mib_s
65.027,30483.0,73770552,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
66.063,30483.0,73772520,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
67.101,30483.0,73771876,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
68.141,30483.0,73768872,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
69.182,30483.0,73777672,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
70.224,30483.0,73770976,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
71.273,30494.0,73790856,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
72.31,30489.0,73785700,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
73.346,30489.0,73773192,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
74.385,30489.0,73766816,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
75.425,30489.0,73780408,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
76.462,30489.0,73775052,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
77.497,30489.0,73765092,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
78.539,30489.0,73773276,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
79.577,30488.0,73772916,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
80.615,30488.0,73770068,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
81.651,30488.0,73773872,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
82.688,30489.0,73769472,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
83.728,30489.0,73766364,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
84.765,30483.0,73773608,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
85.806,30489.0,73764336,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
86.844,30489.0,73767508,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
87.882,30489.0,73771520,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
88.917,30489.0,73768724,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
89.955,30489.0,73772272,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
90.993,30488.0,73776344,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
92.032,30488.0,73775712,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
93.069,30488.0,73765612,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
94.106,30488.0,73769392,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
95.145,30483.0,73775556,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
96.181,30483.0,73766756,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
97.221,30483.0,73774628,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
98.263,30483.0,73769780,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
99.303,30483.0,73766204,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
100.342,30483.0,73774260,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
101.379,30483.0,73768960,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
102.414,30483.0,73765844,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
103.452,30483.0,73769364,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
104.492,30483.0,74068552,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
105.532,30483.0,74135628,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
106.567,30483.0,74193516,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
107.605,30483.0,74254000,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
108.641,30483.0,74310212,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
109.68,30493.0,74496604,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
110.724,31118.0,74843848,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
111.763,31132.0,75183120,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
112.799,31871.0,75396836,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
113.838,31871.0,75459600,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
114.881,31877.0,75587408,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
115.926,31877.0,75591028,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
116.969,31877.0,75592168,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
118.006,31877.0,75590540,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
119.042,31877.0,75591080,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
120.084,31884.0,75587960,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
121.131,31884.0,75583880,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
122.17,31474.0,75821272,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
123.212,31056.0,75938936,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
124.261,31122.0,76122844,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
125.307,31121.0,76728452,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
126.375,31121.0,77244384,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
127.415,31121.0,77752388,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
128.45,31121.0,78674988,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
129.484,31121.0,78672868,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
130.528,31115.0,78678556,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
131.564,31121.0,78678268,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
132.605,31121.0,78676444,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
133.648,31121.0,78675440,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
134.684,31121.0,78664816,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
135.719,31121.0,78668232,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
136.769,31115.0,78684828,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
137.81,31116.0,78683604,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
138.853,31115.0,78698884,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
139.898,31115.0,78704352,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
140.938,31115.0,78684120,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
141.974,31115.0,78874656,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
143.007,31115.0,79774188,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
144.048,31121.0,80685044,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
145.081,31121.0,81273776,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
146.119,31121.0,81277976,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
147.155,31121.0,81277000,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
148.192,31121.0,81270380,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
149.233,31121.0,81275692,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
150.269,31121.0,81266984,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
